address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"178, 9th Main Road, Opposite Union Bank, Sector 7, HSR, Bangalore",Moolehatti Donne Biryani Mane,yes,no,3.6 /5,218,HSR,Quick Bites,"Mutton Biryani, Chicken Kebab, Donne Biryani","Biryani, Chinese, North Indian, Kebab",400.0,Delivery,Koramangala 6th Block
"1, 19th Main, 7th Cross, Opposite BMTC Depot, Sector 4, HSR, Bangalore",Dindigul Time Pass Restaurant,yes,no,3.2 /5,115,HSR,Casual Dining,Not Specified,"South Indian, North Indian, Chinese, Biryani",700.0,Delivery,Koramangala 6th Block
"439, 8th Main Road, Koramangala 4th Block, Bangalore",Occasions,yes,no,4.3 /5,190,Koramangala 4th Block,Bakery,"Cup Cake, Chocolate Truffle, Dutch Truffle, Blueberry Cheesecake","Bakery, Desserts",400.0,Delivery,Koramangala 6th Block
"MCH Society, Opposite the BDA Complex, HSR Layout, HSR, Bangalore",Krispy Kreme,yes,no,3.9 /5,151,HSR,Dessert Parlor,"Donut, Chocolate Doughnut, Chocolate Milkshake, Filter Coffee","Desserts, Beverages",300.0,Delivery,Koramangala 6th Block
"129, 5th Block, KHB Colony, Koramangala 5th Block, Bangalore",Chung Wah,yes,no,4.0 /5,314,Koramangala 5th Block,Casual Dining,"Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Fried Rice Chicken","Chinese, Thai, Momos, Vietnamese",800.0,Delivery,Koramangala 6th Block
"18, Shreenidhi Arcade, Maruthi Nagar Main Road, Madiwala, BTM, Bangalore",El Salver,yes,yes,3.9 /5,74,BTM,Casual Dining,Fish Curry,"North Indian, Chinese, South Indian",900.0,Delivery,Koramangala 6th Block
"52, Industrial Layout, 5th Block, Opposite Jyoti Nivas College Main Gate, Koramangala 5th Block, Bangalore",Tibetan Kitchen,yes,no,4.3 /5,246,Koramangala 5th Block,Quick Bites,"Noodles, Pasta, Tibetan Momos, Clear Soup, Thukpa, Steak, Chicken Momo","Tibetan, Chinese, Continental, Momos",600.0,Delivery,Koramangala 6th Block
"2802, 27th Main Road, Sector 1, HSR, Bangalore",Broadway - The Gourmet Theatre,yes,yes,4.2 /5,1155,HSR,Casual Dining,"Sushi, Cocktails, Mocktails, Bamboo Chicken Biryani, Coconut Soup, Pasta, Sea Food","Japanese, North Indian, Italian, Korean, Mexican, Thai",1800.0,Delivery,Koramangala 6th Block
"475, 1st Cross Road, 5th Block, Koramangala, Bengaluru",Karahi Kitchen,yes,no,4.1 /5,168,Koramangala 5th Block,Delivery,Chicken Biryani,"Andhra, Biryani, Chinese",300.0,Delivery,Koramangala 6th Block
"4, 4th Main Road, Bhrudhavan Nagar, Tavarekere, BTM, Bangalore",Midnight Restro,yes,no,3.4 /5,55,BTM,Delivery,Not Specified,"North Indian, Fast Food",500.0,Delivery,Koramangala 6th Block
"1, 100 Feet Ring Road, Phase 1, Stage 2, BTM, Bangalore",Masale Daan,yes,no,,0,BTM,Quick Bites,Not Specified,North Indian,350.0,Delivery,Koramangala 6th Block
"30, Koramangala 5th Block, Bangalore",Makers of Milkshakes,yes,no,4.2 /5,56,Koramangala 5th Block,Beverage Shop,"Vanilla Ice Cream, Chocolate Milkshake",Beverages,400.0,Delivery,Koramangala 6th Block
"29, Tavakere Main Road, Behind Forum Mall, Koramangala, Bangalore",Pin Me Down,yes,yes,4.5 /5,816,BTM,Casual Dining,"Paneer Tikka, Pizza, Mocktails, Tandoori Aloo, Chowmein, Pasta Alfredo, Murgh Patiala","Continental, Mexican, Chinese, North Indian",800.0,Delivery,Koramangala 6th Block
"254, 2nd Main, Domlur Layout, Domlur, Bangalore",Andhra Mess,yes,no,3.2 /5,128,Domlur,Mess,Not Specified,"Andhra, Biryani, Chinese",400.0,Delivery,Koramangala 6th Block
"Shop 1, 1st Floor, BTM Complex, 9th Main Road, Layout 1st Stage, BTM, Bangalore",Basmati Delights,yes,no,4.0 /5,870,BTM,Delivery,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani","Biryani, Chinese, Mughlai, Fast Food, Kebab",500.0,Delivery,Koramangala 6th Block
"122/A KHB Colony, Koramangala 5th Block, Bangalore",The Milkshake Theory,yes,no,4.0 /5,48,Koramangala 5th Block,Beverage Shop,Not Specified,"Beverages, Fast Food",400.0,Delivery,Koramangala 6th Block
"10/20, 10th Main, KEB Colony, New Gurappana Palya, 1st Stage, Next to Madeena Hotel, BTM, Bangalore",Classic Shop,yes,no,3.8 /5,11,BTM,Beverage Shop,Not Specified,"Beverages, Juices",150.0,Delivery,Koramangala 6th Block
"75/2, 17th Main, Hosur Road, Koramangala 5th Block, Bangalore",Smally's Resto Cafe,yes,yes,4.2 /5,1705,Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650.0,Delivery,Koramangala 6th Block
"24, 3rd 'B' Cross, 7th Cross, 18th Main, 2nd Stage, BTM, Bangalore",Waffle Head,yes,no,4.0 /5,39,BTM,"Dessert Parlor, Beverage Shop","Marshmallow, Chocolate Waffles","Desserts, Beverages, Bakery, Ice Cream",300.0,Delivery,Koramangala 6th Block
"Shop 466, 17th G Main Road, Koramangala 6th Block, Bangalore",Waffle Magic,yes,no,4.1 /5,87,Koramangala 6th Block,Cafe,Waffles,"Cafe, Desserts",700.0,Delivery,Koramangala 6th Block
"G-6/121, Money Centre Building, Koramangala 7th Block, Bangalore",Tenzin Kitchen,yes,no,4.2 /5,534,Koramangala 7th Block,Quick Bites,"Momos, Noodles, Thukpa, Teriyaki Chicken, Chicken Chowmein, Clear Chicken Soup, Beef Chilli","Tibetan, Chinese, Momos",450.0,Delivery,Koramangala 6th Block
"236, 7th Main, Amarjyothi Layout, Near Hero Show Room, EGL Block Gate, 100ft Road, Domlur, Bangalore",Bharanis,yes,no,3.7 /5,16,Domlur,Casual Dining,Not Specified,"Andhra, Biryani",600.0,Delivery,Koramangala 6th Block
"11, Near Aiyappa Temple, Madivala, BTM, Bangalore",Kairali,yes,no,3.9 /5,172,BTM,Quick Bites,"Beef Fry, Fish Fry, Appam, Masala Prawn, Egg Roast, Chicken Curry, Biryani","South Indian, Seafood, Biryani",300.0,Delivery,Koramangala 6th Block
"Shop 1, 100 Feet Ring Road, 1st Phase, 2nd stage, BTM, Bangalore",Chef Delicacies,yes,no,3.1 /5,7,BTM,"Takeaway, Delivery",Not Specified,"Kebab, Rolls",400.0,Delivery,Koramangala 6th Block
"Elite Building Ground Floor, Industrial Layout, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Stoner,yes,no,4.5 /5,2621,Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500.0,Delivery,Koramangala 6th Block
"24, 6th-A Cross, 16th Main, BTM 2nd Stage, BTM, Bangalore",Poha House,yes,no,3.6 /5,11,BTM,Quick Bites,Not Specified,Maharashtrian,200.0,Delivery,Koramangala 6th Block
"4, 1st Main, Koramangala 1st Block, Bangalore",ReFresh Juice Junction,yes,no,4.1 /5,57,Koramangala 1st Block,"Beverage Shop, Quick Bites","Pasta, Burgers, Sandwiches","Juices, Fast Food",200.0,Delivery,Koramangala 6th Block
"14th Main, 4th Sector, HSR, Bangalore",Nagas,yes,no,3.0 /5,7,HSR,Quick Bites,Not Specified,"Andhra, Hyderabadi, North Indian",300.0,Delivery,Koramangala 6th Block
"14th Main, 4th Sector HSR, Bangalore",Juice Shop,yes,no,3.7 /5,16,HSR,"Takeaway, Delivery",Not Specified,"Juices, Beverages, Ice Cream",150.0,Delivery,Koramangala 6th Block
"43, Krishna Nagar, SG Pallya Road, Near Christ College, BTM, Bangalore",Malabar Bay,yes,yes,4.2 /5,1544,BTM,Casual Dining,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta","Kerala, Seafood, Chinese, Biryani, Juices",800.0,Delivery,Koramangala 6th Block
"785, 2nd B Main, Bhuvaneshwari Road, Koramangala 8th Block, Bangalore",Sweet Truth,yes,no,4.2 /5,50,Koramangala 8th Block,Delivery,"Cheesecake, Chocolate Fantasy, Chocolate Cake, Chocolate Decadence, Brownie, Red Velvet, Chocolava Cake","Bakery, Desserts",500.0,Delivery,Koramangala 6th Block
"950, 16th Main Road, 2nd Stage, BTM, Bangalore",Punjabi Swag,yes,no,3.9 /5,707,BTM,Casual Dining,"Lassi, Murgh Lababdar, Chaap, Patiala Paneer, Butter Chicken, Butter Paneer, Chicken Rara",North Indian,500.0,Delivery,Koramangala 6th Block
"71/72, The Elite, JNC Road, Koramangala 5th Block, Bangalore",Tarbouche,yes,no,4.0 /5,269,Koramangala 5th Block,Kiosk,"Falafel, Lamb Kebab, Fattoush, Teriyaki Chicken, Fries, Shawarma, Chicken Kebab","Turkish, Rolls",300.0,Delivery,Koramangala 6th Block
"65, 5th Main Road, Teacher's Colony, Jakkasandra, HSR Layout 5th Sector, Koramangala 1st Block, Bangalore",Chowpatty,yes,no,3.6 /5,95,Koramangala 1st Block,Quick Bites,"Pav Bhaji, Dabeli, Paratha, Raj Kachori, Vada Pav","North Indian, Fast Food, Street Food",300.0,Delivery,Koramangala 6th Block
"1st Floor, Above Indusind Bank, Jakkasandra, Koramangala 1st Block, Bangalore",The Good Bowl,yes,no,3.6 /5,11,Koramangala 1st Block,"Takeaway, Delivery",Not Specified,"Italian, North Indian, Biryani",500.0,Delivery,Koramangala 6th Block
"154, Blue Moon Login, 9th Main Road, Sector 6, HSR, Bangalore",GKT Biryani World,yes,no,3.7 /5,84,HSR,Quick Bites,"Pizza, Chicken Biryani","Biryani, Italian, BBQ",350.0,Delivery,Koramangala 6th Block
"20, Ground Floor, Raheja Arcade, Koramangala, Koramangala 7th Block, Bangalore",Gramin,yes,no,4.3 /5,3461,Koramangala 7th Block,Casual Dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",North Indian,600.0,Delivery,Koramangala 6th Block
"5th Cross, 4th Main Link Road, Behind Ayyappa Temple, Madiwala, BTM, Bangalore",Chef All Nite,yes,no,3.8 /5,464,BTM,,"Paneer Manchurian, Gulab Jamun, Noodles, Chicken Noodle, Butter Chicken, Vegetable Biryani","Chinese, North Indian",300.0,Delivery,Koramangala 6th Block
"1, Nirmala Mansion, 4th Cross, 17th A Main, 60 Feet Road, Koramangala 5th Block, Bangalore",Nuts Over Salads Cafe,yes,yes,4.4 /5,208,Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Clear Soup","Cafe, Salad",800.0,Delivery,Koramangala 6th Block
"63, 5th Block, Jyoti Nivas College Road, Koramangala Bangalore",WAFL Co,yes,no,4.2 /5,53,Koramangala 5th Block,Dessert Parlor,"Waffles, Pancakes, Oreo Waffle","Desserts, Beverages",400.0,Delivery,Koramangala 6th Block
"14th Main, 4th Sector, HSR, Bangalore",Fujian Express,yes,no,3.2 /5,16,HSR,Quick Bites,Not Specified,"Chinese, Thai, American, Momos",200.0,Delivery,Koramangala 6th Block
"Shop 6, 1st Main Road, Muneshawara Nagar, Sector 6, HSR, Bangalore",Taza Khaana,yes,no,3.1 /5,175,HSR,Delivery,Not Specified,"Chinese, North Indian",450.0,Delivery,Koramangala 6th Block
"355/2, 14 B Cross, 5th Main, Sector 6, HSR, Bangalore",Tawa Ghar Ka,yes,no,3.8 /5,331,HSR,Quick Bites,"Mushroom Masala, Thali, Aloo Paratha, Roti, Samosa, Panneer Butter Masala",North Indian,350.0,Delivery,Koramangala 6th Block
"20, KR Colony, Near Haiku Honda Service Center, Domlur, Bangalore",Pizza Stop,yes,no,3.2 /5,166,Domlur,Quick Bites,"Pasta, Supreme Pizza, Thin Crust Pizza, Cheesy Garlic Bread","Pizza, Italian",600.0,Delivery,Koramangala 6th Block
"49, Agara Circle, Near Hanuman Statue, HSR Layout, HSR, Bangalore",Sri Dalma,yes,no,3.8 /5,78,HSR,Quick Bites,"Thali, Mutton Handi","Oriya, Bengali",350.0,Delivery,Koramangala 6th Block
"The Mylapore Cafe 29, 5th Main Teachers Colony Koramangala Block 1 Bangalore 560034",The Mylapore Cafe,yes,no,4.1 /5,121,HSR,Quick Bites,"Masala Dosa, Pongal, Filter Coffee, Tea, Idli","South Indian, Kerala",200.0,Delivery,Koramangala 6th Block
"10th Cross Road, 20th Main Road, Maruthi Nagar, Chikka Madivala, 1st Stage, BTM Layout 1, Bengaluru",Awesome Foods,yes,no,3.7 /5,27,BTM,Quick Bites,Not Specified,"Chinese, North Indian",300.0,Delivery,Koramangala 6th Block
"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",Desipun,yes,yes,4.2 /5,348,Koramangala 5th Block,Casual Dining,"Paneer Tikka Masala, Buttermilk, Lassi, Soya Chaap, Aloo Paratha, Panneer Butter Masala, Stuffed Naan",North Indian,700.0,Delivery,Koramangala 6th Block
"Near Chirst Univercity, Hosur Main Road, BTM, Bangalore",Food And You,yes,no,3.9 /5,35,BTM,Quick Bites,Not Specified,"North Indian, South Indian, Gujarati",350.0,Delivery,Koramangala 6th Block
"936, 16th Main BTM Layout 2nd Stage Old Ward 65, Bangalore 76",Lassi Darbar,yes,no,3.7 /5,13,BTM,Beverage Shop,Not Specified,"Ice Cream, Juices, Beverages",200.0,Delivery,Koramangala 6th Block
"58, Ground Floor, 7th Block, Raheja Arcade, Koramangala 7th Block, Bangalore",Tata Cha,yes,no,3.6 /5,32,Koramangala 7th Block,Cafe,Not Specified,"Cafe, Tea, North Indian",500.0,Delivery,Koramangala 6th Block
"132, 17th A Main, Koramangala 5th Block, Bangalore",Beer Adda,yes,yes,4.3 /5,549,Koramangala 5th Block,"Casual Dining, Pub","Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza","North Indian, Chinese, Pizza",1000.0,Delivery,Koramangala 6th Block
"17/4, 10th Cross, Tavarakere Main Road, 1st Stage, BTM, Bangalore",Boston Barista - Kappayum Curriyum,yes,no,3.6 /5,64,BTM,Quick Bites,Not Specified,Kerala,400.0,Delivery,Koramangala 6th Block
"156, 2nd Floor, Jakksandra, Koramangala 1st Block, Bangalore",Tetto,yes,no,3.7 /5,130,Koramangala 1st Block,"Casual Dining, Bar","Burgers, Cocktails, Mushroom Nuggets, Draught Beer, Fish Fingers",Continental,1200.0,Delivery,Koramangala 6th Block
"6, 3rd B Cross, 18th Main, Kuvempu Nagar, BTM, Bangalore",Manchu Cafe,yes,no,3.8 /5,23,BTM,Quick Bites,Not Specified,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300.0,Delivery,Koramangala 6th Block
"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore",Koramangala Social,yes,no,4.6 /5,4695,Koramangala 7th Block,Lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha","American, North Indian, Chinese, Finger Food",1500.0,Delivery,Koramangala 6th Block
"534/2, 47, 2nd Floor, 10A Cross, RA Road, Ejipura, Bangalore",Kick Out the Jams,yes,no,4.0 /5,529,Ejipura,Delivery,"Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni","Burger, American, Italian",350.0,Delivery,Koramangala 6th Block
"751, 80 Feet Road, Opposite SBI Bank, Koramangala 4th Block, Bangalore",Pasta Street,yes,yes,4.5 /5,263,Koramangala 4th Block,Casual Dining,"Pasta, Wine, Pizza, Lasagne, Cheesecake, Spinach Ravioli, Cocktails","Italian, Pizza, Salad",1300.0,Delivery,Koramangala 6th Block
"355, 1st 'B' Main, Opposite HDFC Bank, Koramangala 7th Block, Bangalore",Bangaliana,yes,no,3.9 /5,454,Koramangala 7th Block,Casual Dining,"Sea Food, Bhetki Paturi, Chicken Dak Bunglow, Prawn, Rasgulla, Potato Curry, Mishti Doi",Bengali,600.0,Delivery,Koramangala 6th Block
"7/43 First floor, 3rd cross, 4th Main, Kaverappa Compound, N S Palaya, 2nd Stage, BTM, Bangalore",Calorie Express,yes,no,3.6 /5,193,BTM,Delivery,Chicken Sandwich,Healthy Food,450.0,Delivery,Koramangala 6th Block
"1st main, Koramangala 1st Block, Bangalore",Appam & Curry,yes,no,3.8 /5,18,Koramangala 1st Block,Quick Bites,Not Specified,"Kerala, South Indian",200.0,Delivery,Koramangala 6th Block
"43/A, 1st Main, Jakkasandra Road, Near Wipro Park, Koramangala 1st Block, Bangalore",Roots,yes,yes,4.5 /5,1889,Koramangala 1st Block,"Casual Dining, Bar","Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken","North Indian, South Indian, Chinese, Continental, Mangalorean",1200.0,Delivery,Koramangala 6th Block
"17th Cross, Rajeev Gandhi Nagar, Sector 6, HSR, Bangalore",The Kitchen Story,yes,no,3.3 /5,19,HSR,Delivery,Not Specified,"North Indian, Chinese",300.0,Delivery,Koramangala 6th Block
"Shop 65, First Floor, Koramangala 7th Block, Bangalore",Keto Kitchen,yes,no,3.6 /5,17,Koramangala 7th Block,Quick Bites,Not Specified,"Healthy Food, Pizza, Italian, South Indian, North Indian",500.0,Delivery,Koramangala 6th Block
"5, 6/1, Opposite, Indicash ATM, Sri Ram Temple Road, Ejipura, Bangalore",Assi Tussi Lassi,yes,no,3.6 /5,26,Ejipura,Beverage Shop,Not Specified,"Beverages, Fast Food, Ice Cream",200.0,Delivery,Koramangala 6th Block
"Shop 2, VP Road, Opposite To Sandhya Theatre, Madiwala, BTM, Bangalore",AM's Cafe Recreate,yes,no,3.4 /5,10,BTM,"Takeaway, Delivery",Not Specified,"Chinese, North Indian",250.0,Delivery,Koramangala 6th Block
"425, 80ft Road, Koramangala 6th Block, Bangalore",Patiala Highway,yes,no,3.7 /5,32,Koramangala 6th Block,Casual Dining,Not Specified,North Indian,700.0,Delivery,Koramangala 6th Block
"107, 4th Floor, Art Arcade, 80Ft Road, Koramangala 4th Block, Bangalore",Smise,no,no,4.0 /5,1209,Koramangala 4th Block,Cafe,"Seafood Pizza, Pasta, Mocktails, Brownie, Tenderloin Burger, Burgers, Exotic Veg Pizza","Cafe, Continental, Italian, Burger, Pizza",650.0,Delivery,Koramangala 6th Block
"49/4, Industrial Layout, Koramangala 5th Block, Bangalore",Keventers,yes,no,4.0 /5,169,Koramangala 5th Block,"Beverage Shop, Dessert Parlor","Kit Kat Shake, Thick Shakes, Rasmalai, Oreo Shake, Chocolate Hazelnut, Milk Shake, Choco Hazelnut","Desserts, Beverages, Ice Cream",400.0,Delivery,Koramangala 6th Block
"934, 16th Main Road, Kuvempu Nagar, BTM 2nd Stage, BTM, Bengalore",Sher-E-Punjab,yes,no,3.1 /5,22,BTM,Quick Bites,Not Specified,"North Indian, Chinese",400.0,Delivery,Koramangala 6th Block
"10, 4th C Cross, Behind HDFC Bank, 7th Block, Koramangala 5th Block, Bangalore",McDonald's,yes,no,3.8 /5,295,Koramangala 5th Block,Quick Bites,"Burgers, Oreo Mcflurry, French Fries, Mcspicy Chicken Burger, Paneer Pockets, Tikki, Chicken Maharaja Mac","Fast Food, Burger",500.0,Delivery,Koramangala 6th Block
"50/1, Opposite Jyothi Nivas College, Koramangala 5th Block, Bangalore",Tall Blonde French,yes,no,4.3 /5,726,Koramangala 5th Block,Quick Bites,"French Fries, Peri Peri Fries, Cup Cake, Potato Fries, Fried Cheese, Chicken Fries, Mexican Fries",Fast Food,400.0,Delivery,Koramangala 6th Block
"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",The Litti Company,yes,no,3.7 /5,34,HSR,"Takeaway, Delivery","Liti Chokha, Aloo Litti, Dal Halwa",Bihari,400.0,Delivery,Koramangala 6th Block
"1548, 3rd Floor,19th Main Road, Sector 1, Agara Village, HSR, Bangalore",Kitchen On Table,yes,no,4.3 /5,793,HSR,Casual Dining,"Sushi, Mocktails, Noodles, Salad, Fish, Miso Soup, Sashimi","BBQ, Chinese, Japanese, Asian",1000.0,Delivery,Koramangala 6th Block
"465C, 17th G Main, 80 Feet Road, Koramangala 6th Block, Bangalore",Bearfoot Cafe,yes,no,4.2 /5,177,Koramangala 6th Block,Cafe,"Cappuccino, Burgers, Fish, Pizza, Coffee, White Sauce Pasta, Fries",Cafe,600.0,Delivery,Koramangala 6th Block
"24/1, 1st Main Road, 8th Cross Road, New Gurappana Palya, 1st Stage, BTM Layout, Bengaluru",Ice Cafe & Lassi Shop,yes,no,3.6 /5,29,BTM,Beverage Shop,Not Specified,"Beverages, Juices",100.0,Delivery,Koramangala 6th Block
"9, 7th Cross, 24th Main, HSR layout, HSR, Bangalore",Yummy Pot,yes,no,,0,HSR,Quick Bites,Not Specified,North Indian,300.0,Delivery,Koramangala 6th Block
"520, KHB Colony, Koramangala 5th Block, Bangalore",Smoke-A-Pot,no,no,3.3 /5,10,Koramangala 5th Block,"Takeaway, Delivery",Not Specified,"Biryani, Kebab, Rolls",600.0,Delivery,Koramangala 6th Block
"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",1722 Urban Bistro,yes,yes,4.1 /5,224,Koramangala 5th Block,Casual Dining,"Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop","North Indian, Chinese, Fast Food, Biryani",600.0,Delivery,Koramangala 6th Block
"17, Hosur Road, Near Johnson Market, Richmond Road, Bangalore",Hotel Fanoos,yes,no,4.0 /5,790,Richmond Road,Quick Bites,"Rolls, Shawarma, Chicken Shawarama, Beef Shwarma, Haleem, Beef Seekh Roll, Chicken Roll","Arabian, Biryani, Rolls, Kebab",400.0,Delivery,Koramangala 6th Block
"70/1, 4th Cross, 17B Main Road, KHB Block, Koramangala 5th Block, Bangalore",Tapri By The Corner,yes,no,4.1 /5,205,Koramangala 5th Block,Quick Bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",Fast Food,250.0,Delivery,Koramangala 6th Block
"14, Krishnanagara Industrial Area, Next to Christ College, Near Dairy Circle, BTM, Bangalore",Turkish Shawarma,yes,no,3.6 /5,21,BTM,"Takeaway, Delivery",Not Specified,Rolls,200.0,Delivery,Koramangala 6th Block
"63, Ground FloorTeachers Colony Main Road, Koramangala 1st Block, Bangalore",The Night Watch Express,yes,no,3.0 /5,53,Koramangala 1st Block,"Takeaway, Delivery",Not Specified,"North Indian, Chinese",500.0,Delivery,Koramangala 6th Block
"4, 4th Main Road, Near Health India, BTM, Bangalore",Knight Ryders,yes,no,3.4 /5,239,BTM,Delivery,Not Specified,"North Indian, Chinese",400.0,Delivery,Koramangala 6th Block
"Shop 1087/A, 14th Main, 18th Cross, 3rd Sector, HSR, Bangalore",Dr. Shawarma,yes,no,3.5 /5,4,HSR,Quick Bites,Not Specified,"North Indian, Rolls, Street Food",200.0,Delivery,Koramangala 6th Block
"445, Shop 1, 5th Main Road, Sector 6, HSR, Bangalore",Make It Roll,yes,no,3.8 /5,43,HSR,Quick Bites,Not Specified,"Rolls, Salad, Sandwich",400.0,Delivery,Koramangala 6th Block
"974, 80 Feet Road, Koramangala 4th Block, Bangalore",Nasi And Mee,yes,yes,4.4 /5,2398,Koramangala 4th Block,Casual Dining,"Salads, Shitake Mushrooms, Noodles, Dumplings, Nasi Goreng, Crispy Corn, Vegetarian","Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1000.0,Delivery,Koramangala 6th Block
"Anda Ka Funda, Kavery layout, Near Ayyappa temple, Taverekere main road, Bangalore, 260029",Anda Ka Funda,yes,no,3.2 /5,64,BTM,Quick Bites,"Paratha, Rolls, Roti","North Indian, Chinese, Rolls",250.0,Delivery,Koramangala 6th Block
"Near Bharat Residency, MM Garden, Koramangala 6th Block, Bangalore",8 Slice,yes,no,3.7 /5,74,Koramangala 6th Block,Delivery,Not Specified,Pizza,600.0,Delivery,Koramangala 6th Block
"716/B, 80, 17th B Main Road, Koramangala Club Road, Koramangala 6th Block, Bangalore",Rolls Mania,yes,no,3.7 /5,32,Koramangala 6th Block,Quick Bites,Not Specified,"Fast Food, Rolls",450.0,Delivery,Koramangala 6th Block
"3rd Floor, Aruna Music Building, Jakkasandra Extension, Koramangala 1st Block, Bangalore",Zangos Grill,yes,no,4.0 /5,188,Koramangala 1st Block,Delivery,"Burgers, Pita Bread, Chicken Grill, French Fries, Peri Peri Chicken","BBQ, Fast Food",300.0,Delivery,Koramangala 6th Block
"6/1, Pipe Line Road, Ejipura Main Road, Ejipura, Bangalore",Little Kolkata,yes,no,3.9 /5,97,Ejipura,Quick Bites,"Chicken Curry, Fish, Thali, Rolls, Rasgulla, Chicken Biryani","Bengali, North Indian",500.0,Delivery,Koramangala 6th Block
"972/C, Ground Floor, S.T. Bed, 4th Block, Near Smart Retail Bazar, Koramangala 4th Block, Bangalore",Delicacy,yes,no,3.9 /5,523,Koramangala 4th Block,Casual Dining,"Noodles, Momos, Chicken Manchow Soup, Chicken Noodle, Prawn, Chicken Honey, Thai Rice","Chinese, Thai, Momos",500.0,Delivery,Koramangala 6th Block
"149, 5th Main,6th Sector, HSR, Bangalore",Foodiesthan,yes,no,3.7 /5,59,HSR,Cafe,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",600.0,Delivery,Koramangala 6th Block
"66, Kormangala Industrial Layout, Koramangala 5th Block, Bangalore",Krem,yes,no,4.1 /5,61,Koramangala 5th Block,Dessert Parlor,"Churros, Baklava Ice Cream, Cheesecake, Chocolate Peanut Butter, Cheese Roll, Chocolate Sundae","Desserts, Ice Cream, Beverages, Sandwich",450.0,Delivery,Koramangala 6th Block
"First Floor, First Cross, Besides Bosch, Koramangala 7th Block, Bangalore",Healthie,yes,no,3.9 /5,107,Koramangala 7th Block,Delivery,"Chicken Grill, Sandwich","Healthy Food, Beverages",600.0,Delivery,Koramangala 6th Block
"15, 16th Main Road, BTM Layout, 1st Stage, 1st Phase, BTM, Bangalore",Ghee Biryani House,yes,no,3.3 /5,9,BTM,Quick Bites,Not Specified,"North Indian, Biryani, Chinese, Arabian",400.0,Delivery,Koramangala 6th Block
"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Sultans of Spice,yes,yes,4.5 /5,3469,Koramangala 5th Block,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh","North Indian, Mughlai, Salad",1300.0,Delivery,Koramangala 6th Block
"40, 2nd Cross, Tavarekere Main Road, Adugodi, BTM, Bangalore",Public Khana,yes,no,3.4 /5,17,BTM,Quick Bites,Not Specified,"South Indian, North Indian",200.0,Delivery,Koramangala 6th Block
"294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",Shagun Sweets & Foods,yes,no,3.5 /5,221,BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",400.0,Delivery,Koramangala 6th Block
"23, 14th Main, 4th Sector, Opposite BDA Complex, HSR, Bangalore",Kumarakom,yes,yes,3.8 /5,1167,HSR,Casual Dining,"Egg Roast, Appam, Fish, Sea Food, Chicken Curry, Chicken Stew, Beef Fry","Kerala, Seafood, South Indian, North Indian, Chinese",600.0,Delivery,Koramangala 6th Block
